,spillcodelist,nentries1,nentries2,ndeltaentries
0,522279260,11,11,0
1,522279330,14,14,0
2,522279405,16,16,0
3,522279475,12,12,0
4,522279550,13,13,0
5,522279620,19,19,0
6,522279690,12,12,0
7,522279765,18,18,0
8,522279835,10,10,0
9,522279910,18,18,0
10,522279980,12,12,0
11,522280050,14063,14063,0
12,522280125,12391,12391,0
13,522280195,13205,13204,1
14,522280270,14265,14265,0
15,522280340,14029,14028,1
16,522280410,14317,14296,21
17,522280485,17374,14474,2900
18,522280555,14749,14711,38
19,522280630,15015,14790,225
20,522280700,13166,13125,41
21,522280770,14386,14275,111
22,522280845,14449,14236,213
23,522280915,13916,13916,0
24,522280990,13503,13393,110
25,522281060,34,18,16
26,522281130,34,14,20
